[INFO ] [Thread:main] 2018-12-31 11:48:25,580 testcore.scenarios.SupportTest.runOncePerSuite:L30 - Central setup completed.
[DEBUG] [Thread:Forwarding newSession on session null to remote] 2018-12-31 11:48:31,204 org.apache.http.impl.conn.Wire.wire:L73 - http-outgoing-0 >> "[\r][\n]"
[DEBUG] [Thread:Forwarding newSession on session null to remote] 2018-12-31 11:48:31,204 org.apache.http.impl.conn.Wire.wire:L73 - http-outgoing-0 >> "{[\n]"
[DEBUG] [Thread:Forwarding newSession on session null to remote] 2018-12-31 11:48:31,204 org.apache.http.impl.conn.Wire.wire:L73 - http-outgoing-0 >> "  "desiredCapabilities": {"browserName":"chrome","goog:chromeOptions":{"args":["--disable-notifications","--disable-infobars"],"binary":"C:/Program Files (x86)/Google/Chrome/Application/chrome.exe","extensions":[]},"pageLoadStrategy":"none","platform":"ANY","version":"PLATFORM_VER"},[\n]"
[DEBUG] [Thread:Forwarding newSession on session null to remote] 2018-12-31 11:48:31,204 org.apache.http.impl.conn.Wire.wire:L73 - http-outgoing-0 >> "  "capabilities": {[\n]"
[DEBUG] [Thread:Forwarding newSession on session null to remote] 2018-12-31 11:48:31,204 org.apache.http.impl.conn.Wire.wire:L73 - http-outgoing-0 >> "    "desiredCapabilities": {"browserName":"chrome","goog:chromeOptions":{"args":["--disable-notifications","--disable-infobars"],"binary":"C:/Program Files (x86)/Google/Chrome/Application/chrome.exe","extensions":[]},"pageLoadStrategy":"none","platform":"ANY","version":"PLATFORM_VER"},[\n]"
[DEBUG] [Thread:Forwarding newSession on session null to remote] 2018-12-31 11:48:31,204 org.apache.http.impl.conn.Wire.wire:L73 - http-outgoing-0 >> "    "firstMatch": [[\n]"
[DEBUG] [Thread:Forwarding newSession on session null to remote] 2018-12-31 11:48:31,204 org.apache.http.impl.conn.Wire.wire:L73 - http-outgoing-0 >> "      {"browserName":"chrome","goog:chromeOptions":{"args":["--disable-notifications","--disable-infobars"],"binary":"C:/Program Files (x86)/Google/Chrome/Application/chrome.exe","extensions":[]},"pageLoadStrategy":"none"}[\n]"
[DEBUG] [Thread:Forwarding newSession on session null to remote] 2018-12-31 11:48:31,204 org.apache.http.impl.conn.Wire.wire:L73 - http-outgoing-0 >> "    ][\n]"
[DEBUG] [Thread:Forwarding newSession on session null to remote] 2018-12-31 11:48:31,204 org.apache.http.impl.conn.Wire.wire:L73 - http-outgoing-0 >> "  }[\n]"
[DEBUG] [Thread:Forwarding newSession on session null to remote] 2018-12-31 11:48:31,204 org.apache.http.impl.conn.Wire.wire:L87 - http-outgoing-0 >> "}"
[DEBUG] [Thread:Forwarding newSession on session null to remote] 2018-12-31 11:48:35,341 org.apache.http.impl.conn.Wire.wire:L73 - http-outgoing-0 << "HTTP/1.1 200 OK[\r][\n]"
[DEBUG] [Thread:Forwarding newSession on session null to remote] 2018-12-31 11:48:35,341 org.apache.http.impl.conn.Wire.wire:L73 - http-outgoing-0 << "Content-Length:829[\r][\n]"
[DEBUG] [Thread:Forwarding newSession on session null to remote] 2018-12-31 11:48:35,341 org.apache.http.impl.conn.Wire.wire:L73 - http-outgoing-0 << "Content-Type:application/json; charset=utf-8[\r][\n]"
[DEBUG] [Thread:Forwarding newSession on session null to remote] 2018-12-31 11:48:35,341 org.apache.http.impl.conn.Wire.wire:L73 - http-outgoing-0 << "[\r][\n]"
[DEBUG] [Thread:Forwarding newSession on session null to remote] 2018-12-31 11:48:35,341 org.apache.http.impl.conn.Wire.wire:L87 - http-outgoing-0 << "{"sessionId":"ebf4d99dbe26378ca1f44c06f16bfee7","status":0,"value":{"acceptInsecureCerts":false,"acceptSslCerts":false,"applicationCacheEnabled":false,"browserConnectionEnabled":false,"browserName":"chrome","chrome":{"chromedriverVersion":"2.36.540470 (e522d04694c7ebea4ba8821272dbef4f9b818c91)","userDataDir":"C:\\Users\\MANJUN~1\\AppData\\Local\\Temp\\scoped_dir7516_31255"},"cssSelectorsEnabled":true,"databaseEnabled":false,"handlesAlerts":true,"hasTouchScreen":false,"javascriptEnabled":true,"locationContextEnabled":true,"mobileEmulationEnabled":false,"nativeEvents":true,"networkConnectionEnabled":false,"pageLoadStrategy":"none","platform":"Windows NT","rotatable":false,"setWindowRect":true,"takesHeapSnapshot":true,"takesScreenshot":true,"unexpectedAlertBehaviour":"","version":"71.0.3578.98","webStorageEnabled":true}}"
[DEBUG] [Thread:Forwarding newSession on session null to remote] 2018-12-31 11:48:35,373 org.apache.http.impl.conn.LoggingManagedHttpClientConnection.onResponseReceived:L122 - http-outgoing-0 << HTTP/1.1 200 OK
[DEBUG] [Thread:Forwarding newSession on session null to remote] 2018-12-31 11:48:35,373 org.apache.http.impl.conn.LoggingManagedHttpClientConnection.onResponseReceived:L125 - http-outgoing-0 << Content-Length:829
[DEBUG] [Thread:Forwarding newSession on session null to remote] 2018-12-31 11:48:35,373 org.apache.http.impl.conn.LoggingManagedHttpClientConnection.onResponseReceived:L125 - http-outgoing-0 << Content-Type:application/json; charset=utf-8
[DEBUG] [Thread:Forwarding newSession on session null to remote] 2018-12-31 11:48:35,435 org.apache.http.impl.execchain.MainClientExec.execute:L285 - Connection can be kept alive indefinitely
